pair no.	pair	immediate segmental environment	cost
602	r-t	#_1	0.52
603	n-t	#_1	0.66
603	n-m	1_#	0.11
604	n-m	0_#	0.11
605	b-t	#_^	0.38
606	k-f	1_u	0.44
607	r-.	#_^	0.04
607	.-r	0_#	0.03
608	O-u	j_r	0.29
609	.-t	I_#	0.07
610	b-v	#_4	0.44
611	b-v	#_1	0.44
611	.-t	k_#	0.07
612	s-.	#_p	0.1
612	p-v	s_1	0.66
613	0-.	1_l	0.07
613	I-.	l_n	0.11
613	n-.	I_z	0.1
614	w-v	#_I	0.08
615	f-v	#_a	0.17
616	f-v	#_O	0.17
616	O-5	f_l	0.26
617	9-O	w_r	0.29
618	t-h	#_8	1
618	u-O	t_r	0.29
619	l-w	#_1	0.25
620	v-w	#_1	1
621	w-r	#_I	0.21
622	s-T	u_#	0.11
623	s-z	#_i	0.07
623	i-I	s_n	0.15
631	.-s	#_t	0.08
632	0-E	t_r	0.26
632	r-l	0_#	0.11
633	.-h	0_E	0.08
633	v-f	E_0	0.14
634	h-.	p_I	0.07
635	h-.	#_I	0.07
635	I-&	h_m	0.26
636	.-O	g_r	0.52
636	I-0	r_#	0
637	^-a	b_.	0.21
637	.-r	^_?	0.03
638	.-l	b_&	0.06
639	I-1	d_l	0.28
639	1-4	l_?	0.26
640	.-d	#_r	0.11
641	&-^	r_g	0.28
642	n-.	#_E	0.1
642	s-m	E_0	1
642	0-I	s_s	0.01
643	u-3	f_l	0.3
644	T-f	#_r	0.24
645	.-g	#_&	0.18
646	r-.	0_z	0.04
646	z-s	r_#	0.07
647	k-.	#_0	0.18
647	0-I	k_n	0.01
648	g-t	I_4	0.66
649	.-z	E_b	0.25
649	.-i	b_0	0.13
649	i-.	n_z	0.29
649	z-.	i_#	0.21
650	O-5	#_f	0.26
650	f-v	O_0	0.17
651	r-w	k_4	0.14
651	I-1	z_#	0.28
652	.-k	#_.	0.1
652	.-w	._i	0.11
653	d-k	#_.	0.34
653	.-w	d_6	0.11
654	5-u	r_m	0.27
654	n-.	&_?	0.1
655	h-t	#_a	0.44
656	s-S	n_E	0.09
657	z-D	5_d	0.44
658	E-I	m_n	0.2
659	E-^	m_s	0.26
660	b-p	#_O	0.16
661	^-&	r_f	0.27
662	4-i	r_p	0.27
663	l-n	E_0	0.23
663	?-d	4_I	0.12
664	^-E	S_t	0.29
664	t-d	^_#	0.09
665	.-J	n_d	0.34
666	^-O	f_.	0.28
666	.-r	^_k	0.03
667	I-i	k_l	0.1
668	.-0	#_k	0.04
669	d-.	#_I	0.09
669	I-0	d_n	0
669	n-b	I_a	0.52
670	E-4	#_g	0.26
670	g-k	E_z	0.11
670	z-s	g_#	0.07
671	E-O	#_l	0.3
672	E-&	#_l	0.19
672	0-I	l_v	0.01
672	v-g	0_4	0.66
673	&-4	#_n	0.27
674	&-4	#_N	0.27
674	N-n	&_g	0.14
674	g-J	N_0	0.44
675	l-.	#_&	0.08
676	m-.	#_&	0.19
677	n-b	#_i	0.52
678	r-l	b_E	0.11
679	p-b	#_l	0.14
679	l-r	p_4	0.13
680	J-b	#_^	0.66
681	U-^	b_S	0.28
681	S-s	U_#	0.17
682	r-b	#_1	0.66
683	h-.	S_u	0.07
684	l-.	O_z	0.08
685	v-.	l_z	0.17
686	7-a	C_r	0.29
687	k-C	#_4	0.38
687	4-&	k_.	0.27
687	.-s	4_a	0.08
687	a-i	._s	0.29
687	s-.	a_#	0.1
688	m-C	#_&	1
689	.-l	k_I	0.06
690	g-k	#_5	0.11
691	5-a	k_m	0.25
692	.-k	#_I	0.1
692	I-0	._n	0
693	z-s	I_#	0.07
694	.-r	O_z	0.03
695	O-a	k_r	0.24
695	.-0	r_n	0.04
696	t-k	#_.	0.14
696	.-r	t_1	0.03
697	.-r	k_O	0.03
697	O-^	._l	0.28
697	z-.	r_#	0.21
698	.-k	#_j	0.1
698	.-i	n_0	0.13
699	9-1	s_r	0.29
699	r-.	9_k	0.04
700	.-d	#_I	0.11
701	.-d	#_I	0.11
701	I-i	._n	0.1
701	n-.	I_v	0.1
701	v-t	n_E	0.66
702	.-d	#_2	0.11
703	t-d	#_^	0.09
704	w-.	#_i	0.13
705	I-E	#_l	0.21
706	h-.	#_E	0.07
707	i-E	#_l	0.29
707	E-0	l_k	0.23
707	t-.	k_r	0.07
707	r-.	t_0	0.04
707	0-.	r_k	0.07
707	k-.	0_j	0.18
708	m-.	#_E	0.19
709	.-i	#_m	0.13
710	0-E	#_h	0.26
710	h-n	0_&	0.52
711	b-.	#_1	0.21
711	1-E	b_.	0.28
711	.-n	1_s	0.1
711	.-l	k_.	0.06
711	.-I	._.	0.1
711	.-k	._0	0.1
712	i-E	#_r	0.29
712	.-r	0_#	0.03
713	s-.	#_0	0.1
713	0-E	s_k	0.26
714	t-d	4_#	0.09
715	O-a	f_r	0.24
716	.-n	E_D	0.1
716	D-d	._0	0.05
717	D-?	E_0	0.23
718	.-l	f_&	0.06
719	9-a	f_r	0.29
719	r-.	9_D	0.04
719	D-d	r_0	0.05
720	J-f	#_.	1
720	.-j	J_U	0.1
721	9-&	g_r	0.29
721	r-.	9_l	0.04
722	&-E	J_m	0.2
723	I-.	n_t	0.11
723	t-?	I_0	0.21
723	0-1	t_l	0.29
724	r-g	#_I	0.52
725	b-g	#_l	0.31
726	.-r	g_4	0.03
727	k-g	#_l	0.1
727	l-r	k_&	0.13
728	k-g	#_r	0.1
729	t-d	l_#	0.09
730	f-h	#_7	0.38
731	.-m	l_#	0.14
732	2-5	h_s	0.29
732	s-z	2_#	0.07
733	n-h	#_5	0.52
734	d-l	I_0	0.34
735	r-s	0_#	0.44
736	&-^	h_N	0.28
737	l-.	f_0	0.08
737	.-r	0_m	0.03
738	C-J	#_E	0.18
739	l-J	#_I	1
740	1-a	n_t	0.23
741	v-b	&_.	0.18
741	.-r	v_0	0.03
741	t-d	0_O	0.09
741	I-.	r_z	0.11
742	b-.	#_r	0.21
742	r-l	b_i	0.11
743	v-n	I_I	1
743	I-0	v_N	0
743	N-n	I_#	0.14
744	w-l	#_u	0.44
745	.-r	O_#	0.03
746	n-m	#_4	0.11
746	m-n	4_#	0.14
747	z-s	n_#	0.07
748	&-i	m_?	0.3
749	.-0	n_.	0.04
749	.-r	._I	0.03
749	I-E	._t	0.21
750	n-l	a_0	0.31
750	0-I	n_k	0.01
750	.-j	k_0	0.1
750	0-u	._l	0.26
751	^-5	m_n	0.28
751	I-4	n_#	0.28
752	m-n	^_I	0.14
753	0-5	m_n	0.23
753	?-g	a_0	0.66
753	n-m	0_I	0.11
754	E-I	n_s	0.2
754	t-.	s_#	0.07
755	g-n	#_&	1
756	b-n	#_&	0.66
758	.-n	#_1	0.1
758	1-a	._d	0.23
758	d-n	1_E	0.38
759	0-5	#_d	0.23
759	O-0	d_r	0.25
760	.-h	p_0	0.08
760	0-5	._l	0.23
761	r-p	#_I	0.52
761	I-0	r_.	0
761	.-r	I_z	0.03
761	z-s	._I	0.07
762	.-0	i_n	0.04
763	.-0	k_.	0.04
763	.-r	._0	0.03
764	0-5	l_r	0.23
764	r-.	0_#	0.04
765	k-.	I_C	0.18
766	s-p	#_I	1
767	f-p	#_.	0.21
767	.-l	f_4	0.06
768	.-p	#_.	0.16
768	.-l	._&	0.06
768	l-.	&_?	0.08
769	.-l	p_a	0.06
770	&-u	p_d	0.3
771	I-.	5_.	0.11
771	.-l	I_t	0.06
772	z-s	u_#	0.07
773	s-r	#_i	0.66
774	z-s	i_0	0.07
774	n-s	0_#	1
775	C-J	I_I	0.18
775	.-d	I_z	0.11
776	u-5	r_m	0.27
777	E-^	r_n	0.26
778	.-k	s_&	0.1
779	t-k	s_a	0.14
780	p-k	s_.	0.23
780	.-r	p_i	0.03
781	.-n	E_d	0.1
781	d-?	._0	0.18
782	.-s	#_i	0.08
783	a-&	S_k	0.23
784	I-&	v_n	0.26
785	.-r	S_I	0.03
786	.-s	#_r	0.08
786	r-l	._^	0.11
787	n-m	s_&	0.11
788	.-I	4_n	0.1
788	n-N	._#	0.19
789	.-s	#_t	0.08
789	t-p	._r	0.18
790	a-7	t_r	0.29
791	.-s	#_k	0.08
791	k-t	._I	0.16
792	m-k	r_#	0.66
793	E-2	r_s	0.3
794	k-t	s_1	0.16
795	t-d	i_#	0.09
796	E-I	s_l	0.2
797	O-a	t_l	0.24
797	^-U	m_d	0.29
798	d-T	#_r	0.66
798	r-.	d_O	0.04
799	4-1	t_l	0.27
800	m-n	1_#	0.14
801	1-4	r_0	0.26
801	0-.	1_l	0.07
802	.-r	t_E	0.03
802	t-d	n_#	0.09
803	.-v	#_E	0.34
803	E-&	._m	0.19
804	f-v	#_O	0.17
805	w-v	#_I	0.08
805	I-E	w_s	0.21
806	w-v	#_4	0.08
806	4-i	w_1	0.27
807	r-v	#_I	0.44
807	k-t	I_u	0.16
808	p-.	#_l	0.24
808	l-w	p_4	0.25
809	h-w	#_E	0.38
809	m-d	E_l	0.44
810	.-w	#_i	0.11
811	p-k	s_0	0.23
812	a-O	h_r	0.25
812	0-.	r_s	0.07
813	z-f	1_#	1
814	.-r	d_5	0.03
815	l-j	#_9	0.25
816	d-b	r_0	0.21
819	E-U	p_l	0.3
819	.-k	l_0	0.1
819	0-5	._#	0.23
820	h-.	#_i	0.07
820	.-I	i_d	0.1
821	1-&	#_g	0.22
821	a-I	g_t	0.28
822	0-&	#_n	0.23
822	I-0	d_l	0
823	E-0	g_s	0.23
824	1-a	#_.	0.23
824	.-r	1_m	0.03
824	?-d	E_I	0.12
824	I-0	?_n	0
825	0-&	#_t	0.23
825	&-0	l_s	0.24
826	h-.	#_&	0.07
826	&-1	h_v	0.29
826	I-0	v_n	0
827	.-0	4_l	0.04
828	&-a	b_N	0.18
828	D-g	N_.	0.44
828	.-l	D_0	0.06
828	I-E	d_S	0.21
829	.-0	k_r	0.04
830	.-l	p_4	0.06
831	C-S	#_a	0.15
831	a-&	C_m	0.23
831	.-l	p_I	0.06
831	I-4	._N	0.28
831	N-n	I_#	0.14
832	.-i	k_&	0.13
832	&-a	._n	0.18
832	j-.	t_E	0.09
832	E-i	j_#	0.28
833	s-z	E_t	0.07
833	t-d	s_I	0.09
833	I-0	t_n	0
834	&-^	d_n	0.28
835	&-E	#_s	0.2
835	4-0	s_k	0.28
836	a-&	h_n	0.23
836	n-l	a_0	0.31
836	l-j	u_u	0.25
836	u-0	l_#	0.28
837	d-v	r_0	0.44
837	.-d	r_#	0.11
838	E-0	m_n	0.23
838	I-4	n_#	0.28
839	0-5	k_r	0.23
839	r-d	0_a	0.29
839	a-&	r_n	0.23
839	n-k	a_#	0.66
840	U-u	k_d	0.29
840	j-.	d_u	0.09
841	I-a	w_k	0.28
841	k-t	I_#	0.16
842	z-s	&_I	0.07
843	4-E	m_k	0.28
843	r-.	0_#	0.04
844	U-^	t_k	0.28
845	.-5	r_#	0.24
846	4-9	n_.	0.3
846	.-r	4_C	0.03
847	&-a	p_.	0.18
847	.-r	&_s	0.03
847	s-T	._I	0.11
847	I-0	s_n	0
848	k-p	#_a	0.24
848	a-^	k_n	0.26
849	d-.	l_#	0.09
850	s-T	#_I	0.11
851	0-I	t_b	0.01
852	O-U	j_r	0.29
852	.-0	r_.	0.04
852	.-g	._w	0.18
854	9-2	f_r	0.3
854	r-.	9_s	0.04
855	.-h	#_a	0.08
855	w-v	r_0	0.08
856	C-J	#_3	0.18
857	.-0	k_l	0.04
857	u-8	l_#	0.29
858	.-I	#_r	0.1
858	E-a	r_k	0.27
859	u-0	n_.	0.28
859	.-w	u_I	0.11
859	I-0	._n	0
860	&-0	k_r	0.24
860	r-.	0_#	0.04
861	9-O	#_r	0.29
862	t-.	#_r	0.07
863	&-4	l_m	0.27
864	^-&	#_?	0.27
864	?-d	^_0	0.12
865	?-d	&_I	0.12
865	.-t	k_#	0.07
866	r-.	a_m	0.04
867	.-I	b_j	0.1
867	j-v	._0	1
868	t-?	n_i	0.21
868	i-I	t_k	0.15
869	^-O	#_D	0.28
869	D-T	^_0	0.23
870	i-0	b_z	0.26
871	f-b	#_i	0.66
872	v-b	#_E	0.18
872	r-l	E_I	0.11
873	.-b	#_w	0.21
873	w-l	._1	0.44
874	&-a	b_?	0.18
875	.-b	#_9	0.21
875	9-u	._r	0.3
876	D-d	i_0	0.05
876	.-r	0_#	0.03
877	.-k	I_s	0.1
878	g-k	#_l	0.11
879	5-a	k_l	0.25
879	l-.	5_d	0.08
880	&-4	r_S	0.27
881	w-r	s_9	0.21
881	9-5	w_r	0.3
881	r-.	9_d	0.04
882	^-5	r_g	0.28
883	b-d	#_l	0.38
883	l-.	b_u	0.08
884	h-.	#_6	0.07
885	S-.	#_E	0.52
886	.-i	#_p	0.13
887	i-0	n_k	0.26
888	i-E	#_r	0.29
889	k-f	#_&	0.44
890	s-.	#_p	0.1
890	p-f	s_i	0.23
891	b-f	#_I	0.38
892	v-f	#_1	0.14
893	p-f	#_.	0.23
893	.-l	p_i	0.06
894	.-l	f_O	0.06
895	d-.	n_#	0.09
896	.-I	n_?	0.1
896	?-t	._0	0.17
897	r-l	g_&	0.11
898	.-t	f_#	0.07
899	5-^	g_s	0.29
900	h-.	#_7	0.07
901	a-9	h_r	0.29
902	&-I	h_p	0.28
903	f-h	#_&	0.38
903	&-a	f_m	0.18
904	O-2	h_r	0.29
904	r-.	O_s	0.04
905	a-9	h_r	0.29
906	g-r	0_r	1
906	r-v	g_0	0.44
907	h-.	#_1	0.07
908	d-J	#_&	0.66
909	.-J	#_E	0.34
910	O-2	J_.	0.29
910	.-l	O_#	0.06
911	I-^	J_N	0.29
912	E-^	J_t	0.26
913	d-l	#_4	0.34
914	0-I	m_n	0.01
914	n-N	0_#	0.19
915	t-?	n_I	0.21
915	I-0	t_l	0
916	b-l	#_I	0.66
917	l-r	0_#	0.13
918	b-l	#_I	0.66
919	a-0	k_s	0.26
920	5-O	l_0	0.28
920	0-.	5_r	0.07
921	J-l	#_^	1
922	n-N	I_t	0.19
922	t-k	n_#	0.14
923	4-0	n_z	0.28
923	z-s	4_0	0.07
923	0-E	z_l	0.26
924	m-n	#_4	0.14
925	t-p	i_#	0.18
926	E-I	n_t	0.2
927	I-0	d_l	0
928	b-n	#_U	0.66
929	p-n	#_5	0.66
930	f-n	#_^	1
931	l-n	#_I	0.23
932	d-.	l_#	0.09
933	l-.	p_E	0.08
933	s-z	E_0	0.07
934	p-f	#_E	0.23
935	r-l	p_I	0.11
936	u-5	p_r	0.3
936	r-.	8_#	0.04
937	l-w	k_I	0.25
938	p-b	&_I	0.14
938	d-t	I_#	0.11
939	E-&	r_k	0.19
939	0-u	k_n	0.26
940	g-.	#_r	0.38
940	t-d	4_#	0.09
941	i-4	r_l	0.29
942	n-r	#_6	0.31
943	.-r	#_.	0.03
943	.-I	._m	0.1
944	d-b	u_#	0.21
945	t-.	1_#	0.07
946	E-4	s_l	0.26
947	^-&	s_m	0.27
948	t-k	s_i	0.14
949	.-s	#_t	0.08
949	t-k	._.	0.14
949	.-r	t_5	0.03
950	I-i	s_k	0.1
951	s-S	#_&	0.09
952	.-r	a_k	0.03
953	J-S	#_4	0.38
954	p-k	a_#	0.23
955	.-s	#_.	0.08
955	.-I	._.	0.1
955	.-n	._s	0.1
956	S-s	#_.	0.17
956	.-n	S_O	0.1
957	.-j	n_I	0.1
957	I-0	._S	0
957	S-l	I_#	1
958	4-1	p_s	0.27
959	I-i	t_l	0.1
960	a-O	t_r	0.25
960	t-k	r_#	0.14
961	.-w	s_i	0.11
962	S-s	#_.	0.17
962	.-w	S_I	0.11
963	d-.	r_#	0.09
964	b-T	#_1	1
965	t-T	#_r	0.2
966	T-t	#_I	0.18
967	k-t	#_U	0.16
967	U-^	k_N	0.28
968	r-.	a_?	0.04
969	h-t	#_O	0.44
969	O-8	h_r	0.29
970	d-t	#_.	0.11
970	.-r	d_&	0.03
971	s-.	#_t	0.1
972	d-t	#_r	0.11
973	s-t	#_w	0.44
974	l-v	#_&	0.44
975	&-E	v_s	0.2
976	n-v	#_1	0.66
977	D-v	#_i	0.38
977	r-.	0_#	0.04
978	w-v	#_1	0.08
978	z-s	1_#	0.07
979	b-v	#_2	0.44
980	0-.	r_r	0.07
980	r-.	0_#	0.04
981	h-j	#_a	0.44
982	d-j	#_a	1
987	.-d	5_z	0.11
987	z-s	._k	0.07
987	^-a	k_l	0.21
988	&-4	k_n	0.27
988	0-U	C_#	0.29
989	.-h	#_1	0.08
989	^-a	k_p	0.21
990	I-.	1_n	0.11
990	.-r	0_p	0.03
991	0-4	#_C	0.28
991	.-h	C_i	0.08
992	.-0	r_t	0.04
993	I-0	s_J	0
993	0-I	J_n	0.01
994	.-d	i_#	0.11
995	.-m	0_d	0.14
996	.-0	b_r	0.04
997	0-.	k_l	0.07
998	.-l	k_a	0.06
999	g-k	#_.	0.11
999	.-l	g_a	0.06
1000	E-^	b_g	0.26
1001	0-I	p_r	0.01
1001	r-.	0_z	0.04
1002	p-k	i_#	0.23
1003	m-n	i_s	0.14
1004	O-4	#_l	0.29
1005	k-?	r_I	0.66
1005	t-C	I_E	0.38
1005	E-5	t_k	0.29
1005	t-.	k_#	0.07
1006	s-.	#_t	0.1
1006	t-b	s_I	0.44
1007	.-l	b_5	0.06
1008	E-1	r_d	0.3
1009	d-p	r_#	0.44
1010	s-v	n_0	1
1010	v-s	r_4	0.66
1011	.-k	#_r	0.1
1011	.-z	n_#	0.25
1012	p-t	^_#	0.31
1013	z-s	4_#	0.07
1014	D-d	#_0	0.05
1014	j-.	n_0	0.09
1014	0-i	j_.	0.3
1014	.-r	0_#	0.03
1015	f-d	#_a	1
1016	E-i	#_r	0.29
1016	r-.	0_#	0.04
1017	n-f	#_&	0.66
1017	&-9	n_.	0.29
1017	.-r	&_C	0.03
1017	C-t	._0	0.38
1017	0-.	C_r	0.07
1017	r-.	0_0	0.04
1017	0-I	r_l	0.01
1018	.-l	f_4	0.06
1019	r-l	f_u	0.11
1020	E-&	g_s	0.19
1021	b-g	#_r	0.31
1022	l-g	#_^	1
1023	n-m	&_d	0.11
1023	d-.	n_z	0.09
1024	b-h	#_9	1
1025	m-h	#_^	0.52
1026	&-I	#_n	0.28
1026	I-0	?_.	0
1026	.-r	I_l	0.03
1026	.-0	p_.	0.04
1026	.-r	._#	0.03
1027	d-l	#_4	0.34
1028	J-Z	i_0	0.31
1029	O-u	l_r	0.29
1029	r-.	O_d	0.04
1030	t-.	1_s	0.07
1031	9-3	l_r	0.29
1031	r-.	9_n	0.04
1032	.-l	#_I	0.06
1033	I-0	m_l	0
1033	.-s	0_#	0.08
1034	.-v	8_.	0.34
1034	.-0	._r	0.04
1035	d-.	n_z	0.09
1036	m-n	#_4	0.14
1037	.-d	u_z	0.11
1038	J-.	#_5	0.52
1039	r-p	#_4	0.52
1040	?-k	r_I	0.66
1041	l-r	0_.	0.13
1041	.-z	l_#	0.25
1042	.-p	#_r	0.16
1043	k-p	#_^	0.24
1044	^-u	r_b	0.28
1045	U-^	r_m	0.28
1046	n-.	0_I	0.1
1046	I-.	n_N	0.11
1046	N-n	I_z	0.14
1047	p-v	r_0	0.66
1048	t-s	#_r	0.34
1048	r-n	t_4	0.29
1049	t-n	s_I	0.34
1050	r-.	O_k	0.04
1051	.-s	#_.	0.08
1051	.-t	._r	0.07
1052	4-i	t_l	0.27
1053	k-.	N_#	0.18
1054	f-t	#_u	1
1055	.-t	f_.	0.07
1055	.-s	._#	0.08
1056	&-^	#_.	0.28
1056	.-N	&_k	0.38
1057	t-.	#_9	0.07
1058	E-&	v_s	0.19
1059	l-v	#_I	0.44
1060	9-I	v_r	0.29
1060	r-.	9_J	0.04
1061	k-d	r_#	0.52
1062	b-w	#_9	0.66
1063	f-j	#_u	1
1064	0-1	?_#	0.29
1065	w-v	i_i	0.08
1066	h-.	l_i	0.07
1067	.-t	k_#	0.07
1068	&-4	#_n	0.27
1069	9-7	#_r	0.3
1070	.-d	n_z	0.11
1071	i-4	b_t	0.28
1072	t-d	i_#	0.09
1073	.-r	i_#	0.03
1074	9-1	g_r	0.29
1074	r-.	9_l	0.04
1075	.-b	#_E	0.21
1076	m-b	#_1	0.44
1077	t-s	k_#	0.34
1078	r-l	b_i	0.11
1079	5-2	l_z	0.29
1080	p-b	#_r	0.14
1081	p-b	#_U	0.14
1082	g-k	#_a	0.11
1082	a-O	g_?	0.25
1083	.-0	k_w	0.04
1083	w-v	._O	0.08
1084	S-C	#_&	0.19
1085	l-k	#_a	0.66
1086	p-k	#_r	0.23
1087	g-k	#_.	0.11
1087	.-r	g_5	0.03
1088	.-k	#_l	0.1
1088	l-r	._^	0.13
1089	O-^	k_l	0.28
1090	D-d	#_0	0.05
1090	0-I	D_p	0.01
1091	D-d	#_0	0.05
1091	0-I	D_p	0.01
1092	k-d	#_r	0.52
1093	l-.	#_9	0.08
1094	b-.	#_i	0.21
1095	.-i	#_l	0.13
1096	1-E	#_l	0.28
1097	.-i	#_l	0.13
1098	I-E	#_n	0.21
1098	D-.	5_z	0.13
1099	I-E	#_n	0.21
1099	i-2	d_d	0.3
1099	d-.	i_#	0.09
1100	h-.	#_&	0.07
1100	&-E	h_v	0.2
1100	0-I	v_d	0.01
1100	&-0	d_n	0.24
1101	.-d	l_#	0.11
1102	.-l	f_4	0.06
1103	9-3	f_r	0.29
1103	r-.	9_s	0.04
1104	0-O	f_r	0.27
1104	g-k	r_.	0.11
1104	.-l	g_I	0.06
1104	v-f	I_.	0.14
1104	.-t	v_#	0.07
1105	t-f	#_r	0.52
1106	l-r	g_5	0.13
1107	b-g	#_l	0.31
1107	l-r	b_5	0.13
1108	t-d	r_#	0.09
1109	.-h	#_j	0.08
1110	.-I	#_w	0.1
1110	w-m	._9	1
1111	h-.	#_I	0.07
1111	O-0	m_r	0.25
1111	r-.	O_l	0.04
1112	n-m	I_p	0.11
1113	E-4	h_l	0.26
1114	&-I	h_b	0.28
1115	m-n	I_&	0.14
1115	&-a	m_k	0.18
1115	I-4	l_t	0.28
1116	0-I	#_.	0.01
1116	.-n	0_s	0.1
1117	0-.	J_&	0.07
1117	v-b	&_#	0.18
1118	C-J	#_5	0.18
1119	1-&	l_k	0.22
1120	f-T	&_#	0.44
1121	v-s	i_#	0.66
1122	m-l	#_E	0.38
1123	t-l	#_a	0.38
1124	n-m	#_4	0.11
1125	r-n	#_i	0.29
1126	O-0	d_l	0.25
1127	t-d	a_#	0.09
1128	.-p	#_4	0.16
1129	b-p	#_a	0.16
1130	&-a	p_.	0.18
1130	.-r	&_s	0.03
1131	0-.	#_p	0.07
1131	a-O	p_n	0.25
1132	j-p	#_a	1
1133	l-p	#_^	1
1134	p-.	#_r	0.24
1135	.-r	#_4	0.03
1136	j-.	z_0	0.09
1137	w-r	#_i	0.21
1138	m-r	#_i	0.66
1139	k-p	&_s	0.24
1140	E-i	p_n	0.28
1140	n-.	E_t	0.1
1141	u-3	r_l	0.3
1142	5-u	r_m	0.27
1143	S-s	#_i	0.17
1144	T-s	#_I	0.25
1145	.-s	#_k	0.08
1146	t-s	#_.	0.34
1146	.-l	t_4	0.06
1147	.-l	s_I	0.06
1148	O-5	n_r	0.26
1148	r-.	O_#	0.04
1149	T-s	#_.	0.25
1149	.-t	T_I	0.07
1150	.-r	t_4	0.03
1151	.-s	#_.	0.08
1151	.-t	._l	0.07
1151	l-r	._1	0.13
1152	4-&	t_k	0.27
1153	s-T	#_I	0.11
1154	s-T	#_^	0.11
1155	w-.	t_I	0.13
1156	k-t	#_r	0.16
1157	^-I	r_s	0.27
1158	a-^	#_n	0.26
1158	D-d	n_0	0.05
1159	0-^	#_n	0.28
1159	D-d	n_.	0.05
1159	.-j	D_0	0.1
1160	w-v	#_E	0.08
1160	t-?	n_I	0.21
1160	I-0	t_l	0
1161	w-v	#_E	0.08
1161	?-C	n_0	0.66
1161	.-r	0_#	0.03
1162	t-d	n_#	0.09
1163	r-w	#_4	0.14
1164	r-w	#_E	0.14
1165	S-w	#_1	1
1166	.-t	l_#	0.07
1167	O-0	w_r	0.25
1168	u-.	j_r	1
1168	r-.	8_a	0.04
1168	a-O	r_n	0.25
1169	.-j	#_9	0.1
1170	r-j	#_a	0.66
1170	D-d	n_0	0.05
1171	s-z	#_I	0.07
1172	.-d	n_s	0.11
1173	s-S	#_E	0.09
1173	E-7	s_r	0.29
1174	r-.	f_i	0.04
1175	T-t	#_r	0.18
1175	5-^	r_s	0.29
1175	.-0	5_n	0.04
1176	?-C	a_0	0.66
1177	.-r	O_k	0.03
1178	.-l	b_5	0.06
1179	s-J	#_I	0.38
1180	i-I	#_.	0.15
1180	.-n	i_v	0.1
1181	h-.	#_5	0.07
1181	I-0	p_n	0
1182	D-z	#_0	0.34
1182	0-i	D_b	0.24
1182	a-0	r_#	0.26
