T\P	p	t	k	b	d	g	C	J	f	v	T	D	s	z	S	Z	h	m	n	N	l	r	j	w	?	i	I	E	&	a	O	U	u	9	0	^	1	2	3	4	5	6	7	8	.
p	0.00	0.31	0.23	0.14	1.00	1.00	1.00	1.00	0.23	0.66	1.00	1.00	0.66	1.00	1.00	1.00	1.00	0.66	0.66	1.00	1.00	0.66	1.00	1.00	0.66	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	0.24
t	0.18	0.00	0.14	0.44	0.09	1.00	0.38	1.00	0.52	0.66	0.20	1.00	0.34	0.52	1.00	1.00	1.00	1.00	0.34	1.00	0.38	0.34	1.00	1.00	0.21	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	0.07
k	0.24	0.16	0.00	1.00	0.52	0.10	0.38	1.00	0.44	1.00	1.00	1.00	0.34	1.00	1.00	1.00	0.34	1.00	1.00	1.00	0.66	1.00	1.00	1.00	0.66	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	0.18
b	0.16	0.38	0.52	0.00	0.38	0.31	1.00	1.00	0.38	0.44	1.00	1.00	1.00	1.00	1.00	1.00	1.00	0.66	0.66	1.00	0.66	0.66	1.00	0.66	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	0.21
d	0.44	0.11	0.34	0.21	0.00	0.44	1.00	0.66	1.00	0.44	0.66	0.44	0.66	0.66	1.00	1.00	1.00	0.66	0.38	1.00	0.34	0.44	1.00	1.00	0.18	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	0.09
g	0.66	0.66	0.11	0.44	0.34	0.00	1.00	0.44	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	0.66	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	0.38
C	1.00	0.38	0.52	1.00	1.00	1.00	0.00	0.18	1.00	1.00	1.00	1.00	1.00	1.00	0.15	1.00	1.00	1.00	0.66	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00
J	1.00	1.00	1.00	0.66	0.44	0.66	0.20	0.00	1.00	1.00	1.00	1.00	1.00	1.00	0.38	0.31	1.00	1.00	1.00	1.00	1.00	1.00	0.44	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	0.52
f	0.21	1.00	1.00	0.66	1.00	0.52	1.00	1.00	0.00	0.17	0.44	1.00	0.34	1.00	1.00	1.00	0.38	1.00	1.00	1.00	1.00	0.52	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	0.44
v	1.00	0.66	1.00	0.18	0.66	0.66	1.00	1.00	0.14	0.00	1.00	1.00	0.66	0.52	1.00	1.00	1.00	0.52	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	0.17
T	0.52	0.18	1.00	1.00	0.52	1.00	1.00	0.66	0.24	1.00	0.00	0.66	0.25	0.66	0.66	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	0.66	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	0.52
D	1.00	0.18	0.66	1.00	0.05	0.44	1.00	1.00	1.00	0.38	0.23	0.00	0.38	0.34	1.00	1.00	1.00	1.00	1.00	1.00	0.52	0.66	1.00	1.00	0.23	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	0.13
s	1.00	0.44	0.27	0.66	1.00	1.00	0.44	0.38	0.27	1.00	0.11	1.00	0.00	0.07	0.09	1.00	0.52	1.00	1.00	1.00	0.66	0.66	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	0.10
z	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	0.44	0.44	0.07	0.00	0.31	0.38	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	0.21
S	1.00	1.00	1.00	1.00	1.00	1.00	0.19	0.52	1.00	1.00	1.00	1.00	0.17	1.00	0.00	0.66	0.66	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	0.52
Z	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	0.44	0.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00
h	1.00	0.44	0.38	0.52	1.00	1.00	0.52	1.00	0.52	0.52	1.00	1.00	0.44	1.00	0.66	1.00	0.00	0.38	0.52	1.00	0.52	0.66	0.44	0.38	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	0.07
m	0.52	1.00	0.66	0.44	0.44	0.66	1.00	1.00	0.44	1.00	1.00	1.00	1.00	1.00	1.00	1.00	0.52	0.00	0.14	1.00	0.38	0.66	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	0.19
n	1.00	0.66	0.66	0.52	1.00	1.00	1.00	1.00	0.66	0.66	1.00	1.00	1.00	1.00	1.00	1.00	0.52	0.11	0.00	0.19	0.31	0.31	1.00	0.52	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	0.10
N	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	0.52	0.14	0.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00
l	1.00	1.00	0.66	1.00	0.44	1.00	1.00	1.00	1.00	0.44	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	0.23	1.00	0.00	0.13	0.25	0.25	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	0.08
r	0.52	0.52	1.00	0.66	0.29	0.52	1.00	0.38	1.00	0.44	1.00	1.00	0.44	1.00	1.00	1.00	1.00	0.66	0.29	1.00	0.11	0.00	0.66	0.14	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	0.04
j	1.00	1.00	1.00	0.66	1.00	1.00	1.00	0.27	1.00	1.00	1.00	1.00	1.00	0.66	1.00	1.00	1.00	1.00	1.00	1.00	1.00	0.38	0.00	0.66	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	0.09
w	1.00	1.00	1.00	0.52	1.00	0.66	1.00	0.66	0.34	0.08	1.00	1.00	1.00	1.00	1.00	1.00	0.66	1.00	0.52	1.00	0.44	0.21	1.00	0.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	0.13
?	1.00	0.17	0.66	1.00	0.12	0.66	0.66	1.00	0.66	1.00	1.00	1.00	0.52	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	0.44	1.00	1.00	0.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	0.34
i	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	0.00	0.15	0.29	0.30	0.30	0.30	0.40	0.30	0.40	0.26	0.40	0.29	0.30	0.40	0.28	0.40	0.29	0.40	0.40	0.29
I	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	0.10	0.00	0.21	0.26	0.28	0.30	0.30	0.29	0.30	0.00	0.29	0.28	0.40	0.40	0.28	0.29	0.29	0.30	0.40	0.11
E	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	0.28	0.20	0.00	0.19	0.27	0.30	0.30	0.30	0.29	0.23	0.26	0.30	0.30	0.40	0.26	0.29	0.29	0.29	0.40	1.00
&	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	0.30	0.28	0.20	0.00	0.18	0.29	0.40	0.30	0.29	0.24	0.28	0.29	0.30	0.40	0.27	0.30	0.40	0.29	0.40	1.00
a	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	0.29	0.28	0.29	0.23	0.00	0.25	0.29	0.29	0.29	0.26	0.26	0.40	0.30	0.30	0.29	0.27	0.30	0.29	0.40	0.66
O	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	0.40	0.40	0.29	0.27	0.24	0.00	0.29	0.29	0.29	0.25	0.28	0.40	0.29	0.29	0.29	0.26	0.30	0.40	0.29	1.00
U	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	0.40	0.29	0.30	0.30	0.40	0.30	0.00	0.29	0.40	0.28	0.28	0.40	0.40	0.40	0.40	0.29	0.40	0.40	0.30	1.00
u	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	0.30	0.29	0.40	0.30	0.30	0.29	0.30	0.00	0.40	0.28	0.29	0.40	0.29	0.30	0.40	0.27	0.40	0.40	0.29	1.00
9	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	0.40	0.29	0.29	0.29	0.29	0.29	0.40	0.30	0.00	0.29	0.29	0.29	0.30	0.29	0.40	0.30	0.30	0.30	0.40	1.00
0	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	0.24	0.01	0.26	0.23	0.24	0.27	0.29	0.26	0.29	0.00	0.28	0.29	0.30	0.30	0.28	0.23	0.30	0.29	0.30	0.07
^	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	0.40	0.27	0.29	0.27	0.21	0.28	0.29	0.28	0.30	0.27	0.00	0.40	0.40	0.40	0.30	0.28	0.40	0.40	0.40	1.00
1	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	0.28	0.28	0.28	0.22	0.23	0.29	0.40	0.30	0.30	0.20	0.29	0.00	0.29	0.28	0.26	0.29	0.40	0.30	0.40	0.66
2	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	0.40	0.30	0.40	0.29	0.27	0.30	0.40	0.29	0.40	0.29	0.30	0.30	0.00	0.40	0.40	0.29	0.40	0.40	0.30	1.00
3	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	0.40	0.40	0.40	0.40	0.30	0.30	0.40	0.40	0.30	0.40	0.40	0.29	0.40	0.00	0.40	0.30	0.40	0.40	0.40	1.00
4	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	0.27	0.28	0.28	0.27	0.29	0.40	0.40	0.30	0.30	0.28	0.30	0.27	0.40	0.29	0.00	0.30	0.40	0.40	0.40	1.00
5	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	0.30	0.29	0.29	0.29	0.25	0.28	0.30	0.27	0.29	0.25	0.29	0.30	0.29	0.29	0.30	0.00	0.40	0.40	0.40	0.66
6	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	0.29	0.30	0.29	0.40	0.30	0.30	0.40	0.40	0.30	0.29	0.40	0.30	0.40	0.40	0.29	0.40	0.00	0.29	0.40	1.00
7	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	0.30	0.30	0.28	0.26	0.29	0.29	0.40	0.40	0.29	0.29	0.40	0.40	0.40	0.40	0.30	0.40	0.29	0.00	0.40	1.00
8	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	0.40	0.40	0.29	0.40	0.29	0.29	0.29	0.29	0.29	0.30	0.40	0.40	0.40	0.40	0.40	0.30	0.40	0.40	0.00	1.00
.	0.16	0.07	0.10	0.21	0.11	0.18	1.00	0.34	0.27	0.34	0.38	0.66	0.08	0.25	0.66	1.00	0.08	0.14	0.10	0.38	0.06	0.03	0.10	0.11	0.38	0.13	0.10	0.38	0.52	0.44	0.52	1.00	0.34	1.00	0.04	1.00	1.00	1.00	1.00	0.66	0.24	1.00	1.00	1.00	0.00
